plant_id_eia,plant_primary_fuel,data_availability,ba_code,ba_code_physical,state,distribution_flag,fuel_category,fuel_category_eia930,timezone,shaped_plant_id
1,DFO,eia_only,AKMS,AKMS,AK,True,petroleum,petroleum,America/Anchorage,990208
2,WAT,eia_only,SOCO,SOCO,AL,False,hydro,hydro,America/Chicago,917904
3,NG,cems_and_eia,SOCO,SOCO,AL,False,natural_gas,natural_gas,America/Chicago,
4,WAT,eia_only,SOCO,SOCO,AL,False,hydro,hydro,America/Chicago,917904
7,NG,eia_only,SOCO,SOCO,AL,False,natural_gas,natural_gas,America/Chicago,917905
9,NG,cems_and_eia,EPE,EPE,TX,False,natural_gas,natural_gas,America/Denver,907605
10,NG,cems_and_eia,SOCO,SOCO,AL,False,natural_gas,natural_gas,America/Chicago,
11,WAT,eia_only,SOCO,SOCO,AL,False,hydro,hydro,America/Chicago,917904
12,WAT,eia_only,SOCO,SOCO,AL,False,hydro,hydro,America/Chicago,917904
13,WAT,eia_only,SOCO,SOCO,AL,False,hydro,hydro,America/Chicago,917904
14,WAT,eia_only,SOCO,SOCO,AL,False,hydro,hydro,America/Chicago,917904
15,WAT,eia_only,SOCO,SOCO,AL,False,hydro,hydro,America/Chicago,917904
16,WAT,eia_only,SOCO,SOCO,AL,False,hydro,hydro,America/Chicago,917904
17,WAT,eia_only,SOCO,SOCO,AL,False,hydro,hydro,America/Chicago,917904
18,WAT,eia_only,SOCO,SOCO,AL,False,hydro,hydro,America/Chicago,917904
19,WAT,eia_only,SOCO,SOCO,AL,False,hydro,hydro,America/Chicago,917904
20,WAT,eia_only,SOCO,SOCO,AL,False,hydro,hydro,America/Chicago,917904
21,WAT,eia_only,SOCO,SOCO,AL,False,hydro,hydro,America/Chicago,917904
26,BIT,cems_and_eia,SOCO,SOCO,AL,False,coal,coal,America/Chicago,
30,DFO,eia_only,MISO,MISO,MN,False,petroleum,petroleum,America/Chicago,912908
34,WAT,eia_only,CISO,CISO,CA,True,hydro,hydro,America/Los_Angeles,903904
38,WAT,eia_only,SOCO,SOCO,AL,False,hydro,hydro,America/Chicago,917904
46,NUC,eia_only,TVA,TVA,AL,False,nuclear,nuclear,America/Chicago,919406
47,NG,cems_and_eia,TVA,TVA,AL,False,natural_gas,natural_gas,America/Chicago,919405
48,WAT,eia_only,TVA,TVA,AL,False,hydro,hydro,America/Chicago,919404
49,WAT,eia_only,TVA,TVA,AL,False,hydro,hydro,America/Chicago,919404
51,LIG,cems_and_eia,MISO,MISO,LA,False,coal,coal,America/Chicago,912902
53,WAT,eia_only,AEC,AEC,AL,True,hydro,hydro,America/Chicago,900204
54,NG,cems_and_eia,PJM,PJM,KY,False,natural_gas,natural_gas,America/New_York,
55,WAT,eia_only,AEC,AEC,AL,True,hydro,hydro,America/Chicago,900204
59,SUB,cems_and_eia,SWPP,SWPP,NE,False,coal,coal,America/Chicago,918602
60,RC,cems_and_eia,SWPP,SWPP,NE,False,coal,coal,America/Chicago,
62,WAT,eia_only,AKMS,AKMS,AK,True,hydro,hydro,America/Juneau,990204
63,WAT,eia_only,AKMS,AKMS,AK,True,hydro,hydro,America/Juneau,990204
64,DFO,eia_only,AKMS,AKMS,AK,False,petroleum,petroleum,America/Juneau,990208
65,WAT,eia_only,AKMS,AKMS,AK,False,hydro,hydro,America/Juneau,990204
66,WAT,eia_only,AKMS,AKMS,AK,True,hydro,hydro,America/Juneau,990204
69,DFO,eia_only,AKMS,AKMS,AK,True,petroleum,petroleum,America/Juneau,990208
70,WAT,eia_only,AKMS,AKMS,AK,False,hydro,hydro,America/Anchorage,990204
71,WAT,eia_only,AKMS,AKMS,AK,False,hydro,hydro,America/Anchorage,990204
72,WAT,eia_only,CISO,CISO,CA,False,hydro,hydro,America/Los_Angeles,903904
75,NG,eia_only,CEA,CEA,AK,False,natural_gas,natural_gas,America/Anchorage,903205
77,WAT,eia_only,CEA,CEA,AK,False,hydro,hydro,America/Anchorage,903204
78,WAT,eia_only,AKMS,AKMS,AK,False,hydro,hydro,America/Juneau,990204
79,SUB,eia_only,AKMS,AKMS,AK,True,coal,coal,America/Anchorage,990202
84,WAT,eia_only,AKMS,AKMS,AK,True,hydro,hydro,America/Sitka,990204
85,DFO,eia_only,AKMS,AKMS,AK,True,petroleum,petroleum,America/Sitka,990208
88,WAT,eia_only,NYIS,NYIS,NY,True,hydro,hydro,America/New_York,914704
90,DFO,eia_only,AKMS,AKMS,AK,True,petroleum,petroleum,America/Nome,990208
91,WAT,eia_only,AKMS,AKMS,AK,True,hydro,hydro,America/Sitka,990204
92,DFO,eia_only,AKMS,AKMS,AK,False,petroleum,petroleum,America/Anchorage,990208
93,WAT,eia_only,AKMS,AKMS,AK,False,hydro,hydro,America/Sitka,990204
95,DFO,eia_only,AKMS,AKMS,AK,True,petroleum,petroleum,America/Sitka,990208
96,NG,eia_only,CEA,CEA,AK,False,natural_gas,natural_gas,America/Anchorage,903205
99,NG,eia_only,PSEI,PSEI,WA,False,natural_gas,natural_gas,America/Los_Angeles,916105
100,WAT,eia_only,SRP,SRP,AZ,True,hydro,hydro,America/Phoenix,918504
104,WAT,eia_only,CISO,CISO,CA,False,hydro,hydro,America/Los_Angeles,903904
108,SUB,cems_and_eia,SWPP,SWPP,KS,False,coal,coal,America/Chicago,
109,DFO,eia_only,AKMS,AKMS,AK,True,petroleum,petroleum,America/Anchorage,990208
113,SUB,cems_and_eia,AZPS,AZPS,AZ,False,coal,coal,America/Phoenix,
114,DFO,eia_only,AZPS,AZPS,AZ,False,petroleum,petroleum,America/Phoenix,902008
116,NG,cems_and_eia,AZPS,AZPS,AZ,False,natural_gas,natural_gas,America/Phoenix,
117,NG,cems_and_eia,AZPS,AZPS,AZ,False,natural_gas,natural_gas,America/Phoenix,
118,NG,cems_and_eia,AZPS,AZPS,AZ,False,natural_gas,natural_gas,America/Phoenix,
120,NG,cems_and_eia,AZPS,AZPS,AZ,False,natural_gas,natural_gas,America/Phoenix,
124,NG,cems_and_eia,TEPC,TEPC,AZ,False,natural_gas,natural_gas,America/Phoenix,918905
126,NG,cems_and_eia,TEPC,TEPC,AZ,False,natural_gas,natural_gas,America/Phoenix,
130,RC,cems_and_eia,SC,SC,SC,False,coal,coal,America/New_York,
136,BIT,cems_and_eia,SEC,SEC,FL,False,coal,coal,America/New_York,
141,NG,cems_and_eia,SRP,SRP,AZ,False,natural_gas,natural_gas,America/Phoenix,918505
143,NG,eia_only,SRP,SRP,AZ,True,natural_gas,natural_gas,America/Phoenix,
145,WAT,eia_only,SRP,SRP,AZ,False,hydro,hydro,America/Phoenix,918504
147,NG,cems_and_eia,SRP,SRP,AZ,False,natural_gas,natural_gas,America/Phoenix,
148,WAT,eia_only,SRP,SRP,AZ,False,hydro,hydro,America/Phoenix,918504
149,WAT,eia_only,SRP,SRP,AZ,False,hydro,hydro,America/Phoenix,918504
150,WAT,eia_only,SRP,SRP,AZ,False,hydro,hydro,America/Phoenix,918504
151,NG,eia_only,BANC,BANC,CA,False,natural_gas,natural_gas,America/Los_Angeles,902105
152,WAT,eia_only,WALC,WALC,AZ,False,hydro,hydro,America/Phoenix,919804
153,WAT,eia_only,WALC,WALC,AZ,False,hydro,hydro,America/Phoenix,919804
154,WAT,eia_only,WALC,WALC,NV,False,hydro,hydro,America/Phoenix,919804
159,WAT,eia_only,PACE,PACE,UT,True,hydro,hydro,America/Denver,915404
160,NG,cems_and_eia,WALC,WALC,AZ,False,natural_gas,natural_gas,America/Phoenix,
161,WAT,eia_only,TIDC,TIDC,CA,False,hydro,hydro,America/Los_Angeles,919104
162,WAT,eia_only,TIDC,TIDC,CA,True,hydro,hydro,America/Los_Angeles,919104
